City_ID,City,Country,Date,Lat,Lng,Max Temp,Current Description,Humidity,Clouds,Wind Speed,Rain (last 3h),Snow (last 3h)
128,Oussouye,SN,2020-04-19 20:30:31,12.48,-16.55,82.4,scattered clouds,61,49,6.93,0.0,0.0
129,Curillo,CO,2020-04-19 20:30:31,1.03,-75.92,87.73,scattered clouds,46,44,5.1,0.0,0.0
130,Port Elizabeth,ZA,2020-04-19 20:24:11,-33.92,25.57,68.0,broken clouds,82,59,2.24,0.0,0.0
131,Saldanha,ZA,2020-04-19 20:28:33,-33.01,17.94,60.8,clear sky,82,4,12.75,0.0,0.0
132,Nikolskoye,RU,2020-04-19 20:26:27,59.7,30.79,41.0,light rain,65,75,6.71,0.0,0.0
133,Yellowknife,CA,2020-04-19 20:23:41,62.46,-114.35,26.6,broken clouds,63,75,18.34,0.0,0.0
134,Hambantota,LK,2020-04-19 20:28:45,6.12,81.12,81.55,overcast clouds,83,94,8.55,0.0,0.0
135,Kamenka,RU,2020-04-19 20:30:32,51.32,42.77,34.0,scattered clouds,80,46,5.68,0.0,0.0
136,Rottingdean,GB,2020-04-19 20:30:32,50.81,-0.06,48.99,clear sky,79,0,3.0,0.0,0.0
137,Loviisa,FI,2020-04-19 20:30:33,60.46,26.23,39.2,overcast clouds,64,90,3.36,0.0,0.0
138,Marsh Harbour,BS,2020-04-19 20:30:33,26.54,-77.06,82.2,broken clouds,72,74,12.28,0.0,0.0
139,Kazachinskoye,RU,2020-04-19 20:30:33,57.7,93.28,32.68,clear sky,79,2,9.35,0.0,0.0
140,Qaanaaq,GL,2020-04-19 20:27:48,77.48,-69.36,19.06,broken clouds,85,76,9.19,0.0,0.0
141,Lyaskelya,RU,2020-04-19 20:30:34,61.77,31.02,35.06,overcast clouds,87,90,5.48,0.0,0.0
142,Providencia,MX,2020-04-19 20:30:34,28.72,-111.58,84.99,broken clouds,30,52,11.01,0.0,0.0
143,Cayenne,GF,2020-04-19 20:25:28,4.93,-52.33,82.4,scattered clouds,78,40,8.05,0.0,0.0
144,Vostok,RU,2020-04-19 20:30:35,46.49,135.88,34.68,overcast clouds,64,100,4.03,0.0,0.0
145,Clyde River,CA,2020-04-19 20:28:07,70.47,-68.59,6.8,light snow,65,1,17.22,0.0,0.0
146,Haines Junction,CA,2020-04-19 20:30:35,60.75,-137.51,47.73,overcast clouds,46,97,7.52,0.0,0.0
147,Ilulissat,GL,2020-04-19 20:28:07,69.22,-51.1,28.4,overcast clouds,58,100,21.92,0.0,0.0
148,Vardo,NO,2020-04-19 20:29:14,70.37,31.11,37.4,light intensity drizzle,86,75,23.04,0.0,0.0
149,Kapaa,US,2020-04-19 20:27:15,22.08,-159.32,78.8,broken clouds,65,75,9.17,0.0,0.0
150,Georgiyevka,KZ,2020-04-19 20:30:36,43.04,74.71,51.8,clear sky,81,0,4.47,0.0,0.0
151,Aklavik,CA,2020-04-19 20:28:41,68.22,-135.01,19.4,broken clouds,41,75,4.7,0.0,0.0
152,Northam,GB,2020-04-19 20:30:37,51.03,-4.22,55.0,overcast clouds,70,90,3.0,0.0,0.0
153,Santa Maria,BR,2020-04-19 20:27:53,-29.68,-53.81,84.2,clear sky,32,0,5.82,0.0,0.0
154,Provideniya,RU,2020-04-19 20:25:48,64.38,-173.3,20.86,light snow,95,100,15.19,0.0,0.56
155,Airai,TL,2020-04-19 20:29:04,-8.93,125.41,59.32,clear sky,59,0,2.3,0.0,0.0
156,Okha,RU,2020-04-19 20:28:35,53.57,142.95,28.83,snow,98,100,12.41,0.0,1.64
157,Sur,OM,2020-04-19 20:29:14,22.57,59.53,84.51,clear sky,50,2,7.18,0.0,0.0
158,Evensk,RU,2020-04-19 20:30:38,61.95,159.23,10.81,overcast clouds,90,100,9.24,0.0,0.0
159,Narsaq,GL,2020-04-19 20:27:46,60.92,-46.05,33.8,few clouds,50,20,2.24,0.0,0.0
160,Shelburne,CA,2020-04-19 20:30:38,44.08,-80.2,44.01,overcast clouds,86,90,16.11,0.0,0.0
161,Atar,MR,2020-04-19 20:25:43,20.52,-13.05,75.74,clear sky,17,0,9.08,0.0,0.0
162,Beira,MZ,2020-04-19 20:30:39,-19.84,34.84,78.8,few clouds,69,20,12.75,0.0,0.0
163,Pingyin,CN,2020-04-19 20:30:39,36.28,116.45,57.99,overcast clouds,52,95,17.81,0.0,0.0
164,Hofn,IS,2020-04-19 20:28:09,64.25,-15.21,43.56,overcast clouds,85,100,4.81,0.0,0.0
165,Fayaoue,NC,2020-04-19 20:30:39,-20.65,166.53,80.1,moderate rain,79,100,14.65,7.85,0.0
166,Felipe Carrillo Puerto,MX,2020-04-19 20:30:40,19.58,-88.05,93.07,overcast clouds,39,100,9.01,0.0,0.0
167,Leningradskiy,RU,2020-04-19 20:28:02,69.38,178.42,10.92,overcast clouds,92,95,7.92,0.0,0.0
168,Faya,SA,2020-04-19 20:30:40,18.39,42.45,66.2,overcast clouds,72,87,1.77,0.0,0.0
169,Talnakh,RU,2020-04-19 20:25:28,69.49,88.4,39.2,overcast clouds,69,100,26.84,0.0,0.0
170,Djibo,BF,2020-04-19 20:30:40,14.1,-1.63,89.38,light rain,31,100,8.77,1.84,0.0
171,Inyonga,TZ,2020-04-19 20:30:41,-6.72,32.07,65.82,light rain,65,68,2.46,1.74,0.0
172,Avera,US,2020-04-19 20:28:05,33.19,-82.53,59.0,scattered clouds,90,40,11.41,0.0,0.0
173,Galdar,ES,2020-04-19 20:30:29,28.15,-15.65,68.0,scattered clouds,64,40,14.99,0.0,0.0
174,Pringsewu,ID,2020-04-19 20:30:41,-5.36,104.97,74.98,broken clouds,90,54,0.31,0.0,0.0
175,Conde,BR,2020-04-19 20:30:41,-7.26,-34.91,80.6,scattered clouds,83,40,10.29,0.0,0.0
176,Samarai,PG,2020-04-19 20:28:42,-10.62,150.67,81.12,broken clouds,82,67,4.99,0.0,0.0
177,Tommot,RU,2020-04-19 20:30:42,58.96,126.29,11.05,broken clouds,91,83,3.15,0.0,0.0
178,Sao Gabriel,BR,2020-04-19 20:30:42,-30.34,-54.32,72.01,clear sky,50,0,4.83,0.0,0.0
179,Khatanga,RU,2020-04-19 20:28:14,71.97,102.5,18.54,broken clouds,94,56,4.68,0.0,0.0
180,Port Hedland,AU,2020-04-19 20:30:43,-20.32,118.57,75.2,broken clouds,94,74,7.45,0.0,0.0
181,Batagay-Alyta,RU,2020-04-19 20:30:43,67.8,130.41,15.49,overcast clouds,86,97,2.53,0.0,0.0
182,Putina,PE,2020-04-19 20:30:43,-15.47,-69.43,45.55,scattered clouds,23,25,9.19,0.0,0.0
