City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Rain (last 3h),Snow (last 3h),Hotel Name
122,Campoverde,PE,87.8,few clouds,-8.48,-74.81,0.0,0.0,"Hospedaje ""Señor De Muruhuay"""
124,Castro,BR,62.6,scattered clouds,-24.79,-50.01,0.0,0.0,CHACARA BAILLY
126,Namatanai,PG,82.09,broken clouds,-3.67,152.43,0.0,0.0,Namatanai Hotel
128,Oussouye,SN,82.4,scattered clouds,12.48,-16.55,0.0,0.0,Auberge du Routard
129,Curillo,CO,87.73,scattered clouds,1.03,-75.92,0.0,0.0,CASA CLUB
130,Port Elizabeth,ZA,68.0,broken clouds,-33.92,25.57,0.0,0.0,39 On Nile Guest House
131,Saldanha,ZA,60.8,clear sky,-33.01,17.94,0.0,0.0,Blue Bay Lodge
134,Hambantota,LK,81.55,overcast clouds,6.12,81.12,0.0,0.0,Bungalow 63
138,Marsh Harbour,BS,82.2,broken clouds,26.54,-77.06,0.0,0.0,Abaco Beach Resort
142,Providencia,MX,84.99,broken clouds,28.72,-111.58,0.0,0.0,
143,Cayenne,GF,82.4,scattered clouds,4.93,-52.33,0.0,0.0,Hôtel Le Dronmi
149,Kapaa,US,78.8,broken clouds,22.08,-159.32,0.0,0.0,Sheraton Kauai Resort at Coconut Beach
153,Santa Maria,BR,84.2,clear sky,-29.68,-53.81,0.0,0.0,Hotel Morotin
157,Sur,OM,84.51,clear sky,22.57,59.53,0.0,0.0,Sur Plaza Hotel
161,Atar,MR,75.74,clear sky,20.52,-13.05,0.0,0.0,Oumou Elghoura
162,Beira,MZ,78.8,few clouds,-19.84,34.84,0.0,0.0,Beira Terrace Hotel
166,Felipe Carrillo Puerto,MX,93.07,overcast clouds,19.58,-88.05,0.0,0.0,Hotel La Ceiba
168,Faya,SA,66.2,overcast clouds,18.39,42.45,0.0,0.0,مقبرة ال مجمل
173,Galdar,ES,68.0,scattered clouds,28.15,-15.65,0.0,0.0,Hostel Guide
174,Pringsewu,ID,74.98,broken clouds,-5.36,104.97,0.0,0.0,Urban Style by Front One
175,Conde,BR,80.6,scattered clouds,-7.26,-34.91,0.0,0.0,Pousada Beija Flor
176,Samarai,PG,81.12,broken clouds,-10.62,150.67,0.0,0.0,Nuli Sapi
178,Sao Gabriel,BR,72.01,clear sky,-30.34,-54.32,0.0,0.0,Hotel Obino
180,Port Hedland,AU,75.2,broken clouds,-20.32,118.57,0.0,0.0,The Esplanade Hotel
184,Guerrero Negro,MX,67.68,broken clouds,27.98,-114.06,0.0,0.0,"Casa Laguna, Bed & Breakfast"
189,Bonthe,SL,81.82,overcast clouds,7.53,-12.51,0.0,0.0,Bonthe Holiday Village
190,Virginia Beach,US,68.0,overcast clouds,36.85,-75.98,0.0,0.0,Hilton Virginia Beach Oceanfront
191,Kokopo,PG,80.38,scattered clouds,-4.35,152.26,0.0,0.0,Kokopo Beach Bungalow Resort
194,San Patricio,MX,78.8,clear sky,19.22,-104.7,0.0,0.0,Hotel Cabo Blanco
196,Pacific Grove,US,61.0,broken clouds,36.62,-121.92,0.0,0.0,Lovers Point Inn
200,Kirksville,US,63.0,clear sky,40.19,-92.58,0.0,0.0,Budget Host-Village Inn
201,Quepos,CR,82.4,moderate rain,9.42,-84.17,0.0,0.0,Jungle Beach Hotel at Manuel Antonio
204,Lazaro Cardenas,MX,84.36,few clouds,17.96,-102.2,0.0,0.0,Hotel Quinta Antigua
206,Pimentel,PE,82.4,clear sky,-6.84,-79.93,0.0,0.0,Casona Del Muelle
208,Trincomalee,LK,81.14,clear sky,8.57,81.23,0.0,0.0,Welcombe Hotel
213,Miri,MY,78.8,broken clouds,4.41,114.01,0.0,0.0,"Mega Hotel, Miri"
216,Iquique,CL,71.6,few clouds,-20.22,-70.14,0.0,0.0,Backpacker`s Hostel Iquique
217,Tocopilla,CL,79.66,few clouds,-22.09,-70.2,0.0,0.0,Hotel Galvarino
218,Durban,ZA,66.2,clear sky,-29.86,31.03,0.0,0.0,Hilton Durban
220,Kusti,SD,82.53,few clouds,13.16,32.66,0.0,0.0,فندق الكوباري - Kobari Hotel
221,West Wendover,US,62.6,overcast clouds,40.74,-114.07,0.0,0.0,Motel 6 Wendover
225,Moga,IN,74.21,broken clouds,30.8,75.17,0.0,0.0,Hotel Jaiswal
226,Alyangula,AU,73.4,clear sky,-13.85,136.42,0.0,0.0,Groote Eylandt Lodge
233,Tiarei,PF,86.0,overcast clouds,-17.53,-149.33,0.0,0.0,Le Rocher de Tahiti
239,Bandarbeyla,SO,82.27,overcast clouds,9.49,50.81,0.0,0.0,REER XOOSHLE GROUP
240,Aswan,EG,74.32,clear sky,24.09,32.91,0.0,0.0,Nuba Nile
242,Chenzhou,CN,61.23,broken clouds,25.8,113.03,0.0,0.0,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
245,Kahului,US,78.8,few clouds,20.89,-156.47,0.0,0.0,Maui Seaside Hotel
246,Los Llanos De Aridane,ES,66.2,few clouds,28.66,-17.92,0.0,0.0,Valle Aridane
